"","Date.Time","Contact Type","Topic","Comments"
"1","2015-08-30 08:18:00","In Person","LRC","LRC Location"
"2","2015-08-30 08:37:00","In Person","Bursar","Bursar Location"
"3","2015-08-30 09:20:00","In Person","Auraria Campus","Plaza location"
"4","2015-08-30 09:51:00","Phone","Lost and Found","Lost & found"
"5","2015-08-30 10:00:00","In Person","Bursar","Furniture Delivery for Bursars"
"6","2015-08-30 10:03:00","In Person","General Info","Trshbag to cover bicycle in rain"
"7","2015-08-30 10:33:00","In Person","Lynx  Center Staff","Michael Gomez (Bookstore) asking for Matt Kaskavitch's contact info"
"8","2015-08-30 10:34:00","In Person","General Info","looking for a specific juice from starbucks"
"9","2015-08-30 10:36:00","Phone","Registrar","CU Denver student needed to turn
in transcripts"
"10","2015-08-30 10:43:00","Phone","Bursar","Location of Bursar"
"11","2015-08-30 10:43:00","In Person","AdmissionsGeneral Info","Faculty member wanred additional info and next steps for son applying to university"
"12","2015-08-30 10:55:00","Phone","Lynx Center Supplies (Computer Etc.)","Needed band-aid"
"13","2015-08-30 10:58:00","In Person","Registrar","Drop off form at registrar"
"14","2015-08-30 11:00:00","Phone","Computer Lab","2nd floor computer lab"
"15","2015-08-30 11:00:00","In Person","Auraria CampusCUD Depts. / Offices","campus map and CLAS Advising"
"16","2015-08-30 11:49:00","Phone","Lynx Center Supplies (Computer Etc.)","Student needed help with Connects
and Canvas"
"17","2015-08-30 11:54:00","Phone","General Info","Location of Qdoba"
"18","2015-08-30 12:04:00","In Person","Admissions","Package delivery for admissions office"
"19","2015-08-30 12:06:00","In Person","LRC","LRC-SI Room Change"
"20","2015-08-30 12:10:00","In Person","ASAC","Student wanting to chage major"
"21","2015-08-30 12:13:00","In Person","RegistrarGeneral Info","Schedule Adjustment Form"
"22","2015-08-30 12:20:00","In Person","Bursar","Student looking for Bursars to pay tuition"
"23","2015-08-30 12:22:00","In Person","Financial Aid","Student looking for Financial Aid"
"24","2015-08-30 12:25:00","In Person","Bursar","Student looking for Bursars to pay tuition"
"25","2015-08-30 12:28:00","In Person","AB1 Classrooms","Student looking for 2nd floor"
"26","2015-08-30 12:28:00","In Person","AB1 Classrooms","AB1 vs SCB"
"27","2015-08-30 12:30:00","In Person","Financial Aid",""
"28","2015-08-30 12:42:00","In Person","Financial Aid","Student looking for Financial Aid"
"29","2015-08-30 12:43:00","In Person","AB1 Classrooms","Person looking for restroom"
"30","2015-08-30 12:50:00","In Person","Bursar","Student looking for Bursars office address"
"31","2015-08-30 12:55:00","In Person","Financial Aid","Student looking for Financial Aid"
"32","2015-08-30 13:05:00","In Person","Registrar",""
"33","2015-08-30 13:05:00","In Person","Financial Aid","Student looking for Financial Aid"
"34","2015-08-30 13:17:00","In Person","Dissability Resources",""
"35","2015-08-30 13:19:00","In Person","Financial Aid",""
"36","2015-08-30 13:21:00","PhoneIn Person","AB1 Classrooms","Student wanting to reserve room"
"37","2015-08-30 13:23:00","In Person","CUD Depts. / Offices","Computer Science questions. Referred to CLAS"
"38","2015-08-30 13:24:00","In Person","General Info","Student looking for locker"
"39","2015-08-30 13:24:00","In Person","MATH","Student looking for MATH"
"40","2015-08-30 13:30:00","In Person","","CAM Advising. Saw student looking at directory and he was looking for CAM Advising. Done on ""L"" walk."
"41","2015-08-30 13:43:00","In Person","General Info","vending machines in AB1 are out of more than half of the drink options at the same time every week. 303-702-2861 (# on the machines) called and the company notified of the complaints."
"42","2015-08-30 13:46:00","In Person","Lost and Found","Student found a head phone earpiece"
"43","2015-08-30 13:49:00","In Person","LRCAB1 Classrooms","2107 LRC"
"44","2015-08-30 13:49:00","In Person","Registrar","Student looking for Registrar"
"45","2015-08-30 13:51:00","In Person","","Student looking for Registrar"
"46","2015-08-30 13:52:00","In Person","","Student having issues with account"
"47","2015-08-30 13:53:00","In Person","","Student looking for ID Voucher"
"48","2015-08-30 13:54:00","In Person","","Student looking for 3225"
"49","2015-08-30 13:58:00","In Person","","Student looking for tour"
"50","2015-08-30 14:04:00","In Person","","Student had questions about FAFSA"
"51","2015-08-30 14:06:00","In Person","","Person looking for Elevator"
"52","2015-08-30 14:07:00","In Person","AB1 ClassroomsGeneral Info","computer labs "
"53","2015-08-30 14:08:00","In Person","RegistrarGeneral Info","add/drop form given by lynx center"
"54","2015-08-30 14:10:00","In Person","Auraria CampusGeneral Info","Tivoli is the student union. Map given to student"
"55","2015-08-30 14:15:00","In Person","","Student looking for ISSS"
"56","2015-08-30 14:21:00","In Person","","Student looking for Student Commons"
"57","2015-08-30 14:22:00","In Person","CUD Depts. / Offices","ASAC and Engineering student services. Looking to transfer and wants to talk to ENGR department"
"58","2015-08-30 14:24:00","In Person","","Student looking for LRC"
"59","2015-08-30 14:33:00","In Person","","Student looking for Financial Aid"
"60","2015-08-30 14:33:00","In Person","","Student wanting to check how to set up schedule for next semester"
"61","2015-08-30 14:41:00","In Person","","Student looking for Financial Aid"
"62","2015-08-30 14:45:00","In Person","","Student looking for Bursars"
"63","2015-08-30 14:50:00","In Person","","Student looking for Bursars"
"64","2015-08-30 14:50:00","In Person","AB1 Classrooms","Person looking for restroom"
"65","2015-08-30 14:57:00","In Person","CUD Depts. / Offices","Student needed to see Pre-Med advisor"
"66","2015-08-30 14:58:00","In Person","AB1 Classrooms","Student asking about after hour access"
"67","2015-08-30 15:05:00","In Person","General Info","Student asking for poster approval "
"68","2015-08-30 15:07:00","In Person","Lynx Center Supplies (Computer Etc.)","Student wanting to use our computer"
"69","2015-08-30 15:14:00","In Person","Registrar","student needed the location of Registrar's office "
"70","2015-08-30 15:16:00","In Person","Admissions","Student wanting to turn in trascript"
"71","2015-08-30 15:16:00","In Person","General Info","Student looking for a scanner"
"72","2015-08-30 15:17:00","In Person","Admissions","Student wanting to ask about IB credits"
"73","2015-08-30 15:17:00","In Person","Int'l Admissions","Student looking for Int' Admissions"
"74","2015-08-30 15:20:00","In Person","LRC","Studentn needed information about the location of LRC "
"75","2015-08-30 15:22:00","In Person","Bursar","Student needed to pay the tuition bill "
"76","2015-08-30 15:23:00","In Person","General Info","Student having canvas issues"
"77","2015-08-30 15:25:00","In Person","General Info","Reserving room in AB1"
"78","2015-08-30 15:25:00","In Person","MATH","Studentn needed to find Math Dept.  "
"79","2015-08-30 15:30:00","In Person","General Info","Directions to Starbucks"
"80","2015-08-30 15:33:00","In Person","General Info","Student asking about RTD pass"
"81","2015-08-30 15:34:00","In Person","General Info","Individual turned in a Senior citizen form "
"82","2015-08-30 15:38:00","In Person","Registrar","Student needed a planner "
"83","2015-08-30 15:40:00","In Person","","Student needed a Schedule Adjusment Form "
"84","2015-08-30 15:43:00","In Person","General Info","Student asking about microwave in AB1"
"85","2015-08-30 15:48:00","In Person","CUD Depts. / Offices","Individual wanted a course catalogue for Graduate School "
"86","2015-08-30 15:54:00","In Person","UCDAccess/Portal","Student having account issues"
"87","2015-08-30 16:38:00","In Person","AB1 Classrooms","Individual asking about the location  1401"
"88","2015-08-30 16:47:00","In Person","Computer Lab","Student asking about computer lab"
"89","2015-08-30 16:51:00","In Person","Registrar","Student needed Schedule Adjusment Form "
"90","2015-08-30 16:51:00","In Person","Computer Lab","Student asking about computer lab"
"91","2015-08-30 16:51:00","In Person","Computer Lab","Student looking for computer lab"
"92","2015-08-30 16:55:00","In Person","General Info","Student asking a rain poncho "
"93","2015-08-30 17:00:00","In Person","Registrar","Student turning in transcripts "
"94","2015-08-30 17:15:00","In Person","Lynx Center Supplies (Computer Etc.)","Borrow stapler"
"95","2015-08-30 08:03:00","In Person","Bursar",""
"96","2015-08-31 08:31:00","In Person","General Info","Student looking for post office"
"97","2015-08-31 08:46:00","In Person","Dissability Resources","Student looking for disabilities cener"
"98","2015-08-31 08:52:00","In Person","ASAC","Student looking for ASAC for walk in hours"
"99","2015-08-31 09:11:00","In Person","Auraria Campus","Student looking for Science building"
"100","2015-08-31 09:15:00","In Person","LRC","Student looking for LRC"
"101","2015-08-31 09:29:00","In Person","AB1 Classrooms","Student looking for 2500"
"102","2015-08-31 10:00:00","In Person","LRC","Student  looking for LRC"
"103","2015-08-31 10:00:00","In Person","Financial Aid",""
"104","2015-08-31 10:15:00","In Person","Lynx Center Supplies (Computer Etc.)","Campus Village needing a table for tabling"
"105","2015-08-31 10:21:00","In Person","Lynx Center Supplies (Computer Etc.)","Person came for Faculty Mentoring program"
"106","2015-08-31 10:28:00","In Person","Admissions","Student looking for Admissions"
"107","2015-08-31 10:43:00","In Person","Financial Aid","Student looking for Financial Aid"
"108","2015-08-31 10:46:00","In Person","Auraria CampusCUD Depts. / Offices","Student looking for confluence building and bio engineering"
"109","2015-08-31 10:52:00","In Person","Computer Lab","Student looking for computer lab to print"
"110","2015-08-31 10:58:00","In Person","General Info",""
"111","2015-08-31 11:00:00","In Person","AB1 Classrooms","Student looking for 1401"
"112","2015-08-31 11:10:00","In Person","LRC","Student looking for LRC"
"113","2015-08-31 11:12:00","In Person","CUD Depts. / Offices","Student looking for Career Center"
"114","2015-08-31 11:23:00","In Person","Lynx  Center Staff","Rosemarry looking for Alicia"
"115","2015-08-31 11:23:00","In Person","AB1 Classrooms","Student wanting to know wher there were places to sit with tables"
"116","2015-08-31 11:30:00","In Person","AB1 ClassroomsGeneral Info","Printing"
"117","2015-08-31 11:40:00","Phone","TAGS","Student had question about TAGS and defering to spring semester"
"118","2015-08-31 11:46:00","In Person","ASAC","Student looking for ASAC"
"119","2015-08-31 11:50:00","In Person","General Info","Looking for childcare on campus."
"120","2015-08-31 11:56:00","In Person","AB1 Classrooms","Student looking for 2504"
